================================================================================
X3D INFERENCE STATISTICS REPORT
================================================================================

PLATFORM INFORMATION
----------------------------------------
  platform: Linux-6.1.74-linux4microchip+fpga-2024.02-riscv64-with-glibc2.35
  system: Linux
  machine: riscv64
  processor: riscv64
  python_version: 3.10.13
  node: mpfs-icicle-kit-prod
  cpu_count_logical: 4
  psutil_available: False
  device_type: PolarFire SoC Icicle Kit

RUN SUMMARY
----------------------------------------
  Run ID: 20260414_105339_606179
  Timestamp: 2026-04-14T10:53:39.606538
  Model: X3D-M
  Input Shape: (1, 3, 16, 224, 224)
  Total Latency: 173193.99 ms
  Total Parameters: 3,794,274
  Total FLOPs: 9,464,937,472

SECTION BREAKDOWN
----------------------------------------
  Section              Latency (ms)       Params           FLOPs   % Time
  -------------------- ------------ ------------ --------------- --------
  Stem                      6812.29          816     308,281,344     3.9%
  Stage2                   43657.90       15,370   1,667,251,584    25.2%
  Stage3                   41504.89       73,248   1,825,312,896    24.0%
  Stage4                   58938.75      569,256   3,422,638,080    34.0%
  Stage5                   21339.78    1,347,440   2,107,989,504    12.3%
  Head                       927.16    1,788,144     133,464,064     0.5%

LAYER-BY-LAYER BREAKDOWN
----------------------------------------
  Layer                                    Type            Latency (ms)     Params Output Shape        
  ---------------------------------------- --------------- ------------ ---------- --------------------
  Stem.conv.conv_t                         Conv3d              3838.782        648 (1, 24, 16, 112, ...
  Stem.conv.conv_xy                        Conv3d (depthwise)     1298.645        120 (1, 24, 16, 112, ...
  Stem.norm                                BatchNorm3d         1326.179         48 (1, 24, 16, 112, ...
  Stem.relu                                ReLU                 344.966          0 (1, 24, 16, 112, ...
  Stage2.block0.conv_a                     Conv3d (1x1x1)     10122.726      1,296 (1, 54, 16, 112, ...
  Stage2.block0.norm_a                     BatchNorm3d         3215.136        108 (1, 54, 16, 112, ...
  Stage2.block0.relu_a                     ReLU                 787.997          0 (1, 54, 16, 112, ...
  Stage2.block0.conv_b                     Conv3d (3x3x3 depthwise)     1800.304      1,458 (1, 54, 16, 56, 56) 
  Stage2.block0.norm_b.bn                  BatchNorm3d          763.295        108 (1, 54, 16, 56, 56) 
  Stage2.block0.norm_b.se.squeeze          AdaptiveAvgPool3d       61.643          0 (1, 54, 1, 1, 1)    
  Stage2.block0.norm_b.se.conv1            Conv3d (1x1x1)         1.691        440 (1, 8, 1, 1, 1)     
  Stage2.block0.norm_b.se.relu             ReLU                   0.166          0 (1, 8, 1, 1, 1)     
  Stage2.block0.norm_b.se.conv2            Conv3d (1x1x1)         1.532        486 (1, 54, 1, 1, 1)    
  Stage2.block0.norm_b.se.sigmoid          Sigmoid                0.739          0 (1, 54, 1, 1, 1)    
  Stage2.block0.norm_b.se.scale            Mul (element-wise)      149.354          0 (1, 54, 16, 56, 56) 
  Stage2.block0.silu                       SiLU                1346.879          0 (1, 54, 16, 56, 56) 
  Stage2.block0.conv_c                     Conv3d (1x1x1)      2586.830      1,296 (1, 24, 16, 56, 56) 
  Stage2.block0.norm_c                     BatchNorm3d          331.860         48 (1, 24, 16, 56, 56) 
  Stage2.block0.branch1_conv               Conv3d (1x1x1)      1418.487        576 (1, 24, 16, 56, 56) 
  Stage2.block0.residual_add               Add                   89.312          0 (1, 24, 16, 56, 56) 
  Stage2.block0.relu_out                   ReLU                  80.724          0 (1, 24, 16, 56, 56) 
  Stage2.block1.conv_a                     Conv3d (1x1x1)      2554.335      1,296 (1, 54, 16, 56, 56) 
  Stage2.block1.norm_a                     BatchNorm3d          755.253        108 (1, 54, 16, 56, 56) 
  Stage2.block1.relu_a                     ReLU                 174.628          0 (1, 54, 16, 56, 56) 
  Stage2.block1.conv_b                     Conv3d (3x3x3 depthwise)     1652.834      1,458 (1, 54, 16, 56, 56) 
  Stage2.block1.norm_b.bn                  BatchNorm3d          706.767        108 (1, 54, 16, 56, 56) 
  Stage2.block1.norm_b.identity            Identity               0.039          0 (1, 54, 16, 56, 56) 
  Stage2.block1.silu                       SiLU                1342.593          0 (1, 54, 16, 56, 56) 
  Stage2.block1.conv_c                     Conv3d (1x1x1)      2547.802      1,296 (1, 24, 16, 56, 56) 
  Stage2.block1.norm_c                     BatchNorm3d          314.678         48 (1, 24, 16, 56, 56) 
  Stage2.block1.residual_add               Add                   85.975          0 (1, 24, 16, 56, 56) 
  Stage2.block1.relu_out                   ReLU                  82.296          0 (1, 24, 16, 56, 56) 
  Stage2.block2.conv_a                     Conv3d (1x1x1)      2607.078      1,296 (1, 54, 16, 56, 56) 
  Stage2.block2.norm_a                     BatchNorm3d          761.673        108 (1, 54, 16, 56, 56) 
  Stage2.block2.relu_a                     ReLU                 196.084          0 (1, 54, 16, 56, 56) 
  Stage2.block2.conv_b                     Conv3d (3x3x3 depthwise)     1663.763      1,458 (1, 54, 16, 56, 56) 
  Stage2.block2.norm_b.bn                  BatchNorm3d          747.605        108 (1, 54, 16, 56, 56) 
  Stage2.block2.norm_b.se.squeeze          AdaptiveAvgPool3d       61.248          0 (1, 54, 1, 1, 1)    
  Stage2.block2.norm_b.se.conv1            Conv3d (1x1x1)         1.822        440 (1, 8, 1, 1, 1)     
  Stage2.block2.norm_b.se.relu             ReLU                   0.172          0 (1, 8, 1, 1, 1)     
  Stage2.block2.norm_b.se.conv2            Conv3d (1x1x1)         1.464        486 (1, 54, 1, 1, 1)    
  Stage2.block2.norm_b.se.sigmoid          Sigmoid                0.480          0 (1, 54, 1, 1, 1)    
  Stage2.block2.norm_b.se.scale            Mul (element-wise)      149.283          0 (1, 54, 16, 56, 56) 
  Stage2.block2.silu                       SiLU                1351.289          0 (1, 54, 16, 56, 56) 
