================================================================================
X3D INFERENCE STATISTICS REPORT
================================================================================

PLATFORM INFORMATION
----------------------------------------
  platform: Linux-6.1.74-linux4microchip+fpga-2024.02-riscv64-with-glibc2.35
  system: Linux
  machine: riscv64
  processor: riscv64
  python_version: 3.10.13
  node: mpfs-icicle-kit-prod
  cpu_count_logical: 4
  psutil_available: False
  device_type: PolarFire SoC Icicle Kit

RUN SUMMARY
----------------------------------------
  Run ID: 20260414_105925_228579
  Timestamp: 2026-04-14T10:59:25.228927
  Model: X3D-M
  Input Shape: (1, 3, 16, 224, 224)
  Total Latency: 110396.03 ms
  Total Parameters: 3,794,274
  Total FLOPs: 9,464,937,472

SECTION BREAKDOWN
----------------------------------------
  Section              Latency (ms)       Params           FLOPs   % Time
  -------------------- ------------ ------------ --------------- --------
  Stem                      4282.27          816     308,281,344     3.9%
  Stage2                   29958.41       15,370   1,667,251,584    27.1%
  Stage3                   26714.79       73,248   1,825,312,896    24.2%
  Stage4                   36140.98      569,256   3,422,638,080    32.7%
  Stage5                   12740.93    1,347,440   2,107,989,504    11.5%
  Head                       544.79    1,788,144     133,464,064     0.5%

LAYER-BY-LAYER BREAKDOWN
----------------------------------------
  Layer                                    Type            Latency (ms)     Params Output Shape        
  ---------------------------------------- --------------- ------------ ---------- --------------------
  Stem.conv.conv_t                         Conv3d              1927.611        648 (1, 24, 16, 112, ...
  Stem.conv.conv_xy                        Conv3d (depthwise)      677.662        120 (1, 24, 16, 112, ...
  Stem.norm                                BatchNorm3d         1329.013         48 (1, 24, 16, 112, ...
  Stem.relu                                ReLU                 344.141          0 (1, 24, 16, 112, ...
  Stage2.block0.conv_a                     Conv3d (1x1x1)      5563.177      1,296 (1, 54, 16, 112, ...
  Stage2.block0.norm_a                     BatchNorm3d         3216.012        108 (1, 54, 16, 112, ...
  Stage2.block0.relu_a                     ReLU                 788.582          0 (1, 54, 16, 112, ...
  Stage2.block0.conv_b                     Conv3d (3x3x3 depthwise)      961.960      1,458 (1, 54, 16, 56, 56) 
  Stage2.block0.norm_b.bn                  BatchNorm3d          757.254        108 (1, 54, 16, 56, 56) 
  Stage2.block0.norm_b.se.squeeze          AdaptiveAvgPool3d       61.374          0 (1, 54, 1, 1, 1)    
  Stage2.block0.norm_b.se.conv1            Conv3d (1x1x1)         2.136        440 (1, 8, 1, 1, 1)     
  Stage2.block0.norm_b.se.relu             ReLU                   0.169          0 (1, 8, 1, 1, 1)     
  Stage2.block0.norm_b.se.conv2            Conv3d (1x1x1)         1.944        486 (1, 54, 1, 1, 1)    
  Stage2.block0.norm_b.se.sigmoid          Sigmoid                0.753          0 (1, 54, 1, 1, 1)    
  Stage2.block0.norm_b.se.scale            Mul (element-wise)      149.353          0 (1, 54, 16, 56, 56) 
  Stage2.block0.silu                       SiLU                1345.213          0 (1, 54, 16, 56, 56) 
  Stage2.block0.conv_c                     Conv3d (1x1x1)      1363.205      1,296 (1, 24, 16, 56, 56) 
  Stage2.block0.norm_c                     BatchNorm3d          331.902         48 (1, 24, 16, 56, 56) 
  Stage2.block0.branch1_conv               Conv3d (1x1x1)       758.189        576 (1, 24, 16, 56, 56) 
  Stage2.block0.residual_add               Add                   88.822          0 (1, 24, 16, 56, 56) 
  Stage2.block0.relu_out                   ReLU                  80.813          0 (1, 24, 16, 56, 56) 
  Stage2.block1.conv_a                     Conv3d (1x1x1)      1371.621      1,296 (1, 54, 16, 56, 56) 
